it w0 w1 ww1 w2 ww2 w10 w11 ww11 w12 ww12 w20 w21 ww21 w22 ww22 e
1 -0.013727352159740636 -0.024541532405115814 1.7877834064089095 -0.024547731945074647 1.7882350259118327 -0.00422603396964355 -0.0726386904290228 17.18838299710818 0 -0.0 -0.00421293655083034 0 -0.0 -0.0721201833520222 17.118744249259535 0.1335276456861439
2 -0.019369026719018967 -0.03861837471639939 1.993821128785938 -0.0386892131826125 1.9974784352288866 -0.006670684423931761 -0.14185463690336908 21.26537966545848 0 -0.0 -0.006624434130269023 0 -0.0 -0.14100179377634264 21.28510767916964 0.13292547512084937
3 -0.020970996122142052 -0.04538496055363593 2.1641776236712285 -0.04554314676271069 2.1717207183412874 -0.007856594850290558 -0.20728860550064754 26.38402634354773 0 -0.0 -0.007782452049417299 0 -0.0 -0.20627971668580036 26.505748493656995 0.1324644235240267
4 -0.020962424667703677 -0.04682103647900678 2.2335696953579456 -0.04706570738435933 2.2452415753637687 -0.007891764067564581 -0.26805219118702106 33.966067522054374 0 -0.0 -0.007802425402077231 0 -0.0 -0.26702466290181476 34.22328944416759 0.13209202286473185
5 -0.02074210855686287 -0.044285765646769865 2.1350657540608227 -0.04460304784716442 2.150362279943172 -0.006746349280387618 -0.323371389431118 47.93279683445894 0 -0.0 -0.0066517188742187434 0 -0.0 -0.32240749116703576 48.46980115420213 0.131784464786143
6 -0.021051853909716936 -0.03877548584419198 1.841903616208087 -0.03914713305573336 1.8595575108786102 -0.004406166877110814 -0.3729066488359022 84.63289276969518 0 -0.0 -0.004310471563639558 0 -0.0 -0.37203978977282776 86.31069345431314 0.13152615795372477
7 -0.022228486124124272 -0.031037665309251013 1.3963013556540074 -0.03144652871443947 1.414695024161406 -0.0009194585658509995 -0.41676610994866453 453.2733996152715 0 -0.0 -0.000822597861134932 0 -0.0 -0.41599748363417416 505.7118469287357 0.13130489695715683
8 -0.02437411965540763 -0.021630406308582956 0.8874333356193254 -0.022062778475179304 0.9051723215892421 0.003614690235416277 -0.45536345777407194 -125.97578993421855 0 0.0 0.003714829337950483 0 0.0 -0.4546782143632664 -122.39545158058807 0.1311111696817118
9 -0.027465896204156154 -0.010965147454838849 0.3992277322150368 -0.011411077663761055 0.41546351078230337 0.009073286692842769 -0.4892587667070625 -53.92299210527556 0 0.0 0.009179155191249906 0 0.0 -0.4886368956562331 -53.23331891392681 0.130937882960606
10 -0.03142234099570812 0.0006577004948802347 -0.020930983308024946 0.00020499076252715465 -0.006523726623524125 0.015331027298805623 -0.5190440957679014 -33.85579359110123 0 0.0 0.015444603498667237 0 0.0 -0.518466123195639 -33.56940327023475 0.13077989328639625
